"[40.70394, -74.01309, 40.70394, -74.01294]",M01015713,#FF0000,STONE ST,Whitehall St,Broad St,S
"[40.70394, -74.01294, 40.70393, -74.01248]",M01015755,#00FF00,STONE ST,Whitehall St,Broad St,S
"[40.70393, -74.01248, 40.70393, -74.01233]",M010157181,#FF0000,STONE ST,Whitehall St,Broad St,S
"[40.70393, -74.01233, 40.70393, -74.01173]",M010157224,#00FF00,STONE ST,Whitehall St,Broad St,S
"[40.70316, -74.01259, 40.70309, -74.01287]",M0101629,#00FF00,PEARL ST,Moore St,Whitehall St,E
"[40.7024, -74.01274, 40.70276, -74.01182]",M01018717,#FF0000,WATER ST,Whitehall St,Broad St,E
"[40.70276, -74.01182, 40.70283, -74.01164]",M010187303,#FF0000,WATER ST,Whitehall St,Broad St,E
"[40.70491, -74.01165, 40.70492, -74.01193]",M01039513,#00FF00,BEAVER ST,Broad St,Marketfield St,S
"[40.70492, -74.01193, 40.70494, -74.01259]",M01039592,#00FF00,BEAVER ST,Broad St,Marketfield St,S
"[40.70333, -74.01171, 40.70317, -74.01248]",M01048716,#FF0000,PEARL ST,Broad St,Moore St,E
"[40.70277, -74.01249, 40.7031, -74.01263]",M0104880,#FF0000,MOORE ST,Water St,Pearl St,W
"[40.70585, -74.01338, 40.70611, -74.01416]",M01050720,#00FF00,MORRIS ST,Broadway,Greenwich St,S
"[40.70477, -74.01687, 40.70448, -74.01423]",M0105187,#FF0000,BATTERY PL,West St,State St,S
"[40.70296, -74.01163, 40.70278, -74.01229]",M01054115,#00FF00,WATER ST,Broad St,Moore St,W
"[40.70488, -74.01483, 40.70615, -74.01424]",M01075315,#FF0000,GREENWICH ST,Battery Pl,Morris St,E
"[40.70347, -74.01122, 40.70339, -74.01149]",M011347159,#00FF00,PEARL ST,Coenties Slip,Broad St,E
"[40.70583, -74.01335, 40.70555, -74.01356]",M0114078,#FF0000,BROADWAY,Morris St,Battery Pl,W
"[40.70555, -74.01356, 40.70536, -74.0137]",M011407125,#00FF00,BROADWAY,Morris St,Battery Pl,W
"[40.70536, -74.0137, 40.70473, -74.01415]",M011407205,#FF0000,BROADWAY,Morris St,Battery Pl,W
"[40.70495, -74.01273, 40.70495, -74.01314]",M01147710,#00FF00,BEAVER ST,Marketfield St,Broadway,S
"[40.70495, -74.01314, 40.70495, -74.01328]",M011477123,#FF0000,BEAVER ST,Marketfield St,Broadway,S
"[40.70587, -74.01288, 40.70522, -74.01319]",M011677338,#FF0000,BROADWAY,Exchange Pl,Beaver St,E
"[40.70522, -74.01319, 40.705, -74.01329]",M011677591,#00FF00,BROADWAY,Exchange Pl,Beaver St,E
"[40.70498, -74.01343, 40.70362, -74.01317]",M0116930,#FF0000,WHITEHALL ST,Bowling Green,Bridge St,W
"[40.70496, -74.01328, 40.70481, -74.01325]",M0116970,#00FF00,WHITEHALL ST,Beaver St,Stone St,E
"[40.70481, -74.01325, 40.7047, -74.01323]",M01169756,#00FF00,WHITEHALL ST,Beaver St,Stone St,E
"[40.7047, -74.01323, 40.70447, -74.01319]",M01169799,#FF0000,WHITEHALL ST,Beaver St,Stone St,E
"[40.70447, -74.01319, 40.70431, -74.01316]",M011697181,#00FF00,WHITEHALL ST,Beaver St,Stone St,E
"[40.70431, -74.01316, 40.70409, -74.01312]",M011697241,#00FF00,WHITEHALL ST,Beaver St,Stone St,E
"[40.70353, -74.01168, 40.70348, -74.01168]",M0118788,#FF0000,BROAD ST,Bridge St,Pearl St,W
"[40.70313, -74.01323, 40.70316, -74.01434]",M01188131,#FF0000,PEARL ST,Whitehall St,State St,N
"[40.70344, -74.01176, 40.70319, -74.01292]",M01293615,#FF0000,PEARL ST,Broad St,Whitehall St,W
"[40.70335, -74.01166, 40.70304, -74.0116]",M01294610,#00FF00,BROAD ST,Pearl St,Water St,W
"[40.70396, -74.01165, 40.70363, -74.01167]",M01294712,#FF0000,BROAD ST,Stone St,Bridge St,W
"[40.70468, -74.01162, 40.70407, -74.01164]",M0129484,#FF0000,BROAD ST,Marketfield St,Stone St,W
"[40.70476, -74.01162, 40.70489, -74.01162]",M0129494,#FF0000,BROAD ST,Marketfield St,Beaver St,W
"[40.70339, -74.01151, 40.70343, -74.01152]",M012991133,#00FF00,BROAD ST,Water St,Pearl St,E
"[40.70569, -74.0133, 40.70459, -74.01405]",M0130050,#FF0000,BROADWAY,Morris St,Battery Pl,E
"[40.70365, -74.01426, 40.70364, -74.01325]",M01311210,#FF0000,BRIDGE ST,State St,Whitehall St,N
"[40.70354, -74.01429, 40.70353, -74.01346]",M01311311,#00FF00,BRIDGE ST,State St,Whitehall St,S
"[40.70353, -74.01346, 40.70353, -74.01325]",M013113240,#FF0000,BRIDGE ST,State St,Whitehall St,S
"[40.70599, -74.01343, 40.70619, -74.01404]",M01311419,#FF0000,MORRIS ST,Broadway,Greenwich St,N
"[40.70363, -74.01303, 40.7036, -74.01175]",M01314911,#FF0000,BRIDGE ST,Whitehall St,Broad St,N
"[40.70352, -74.01302, 40.70352, -74.01294]",M01319312,#00FF00,BRIDGE ST,Whitehall St,Broad St,S
"[40.70352, -74.01294, 40.70349, -74.012]",M01319335,#00FF00,BRIDGE ST,Whitehall St,Broad St,S
"[40.70349, -74.012, 40.70349, -74.01176]",M013193295,#FF0000,BRIDGE ST,Whitehall St,Broad St,S
"[40.70505, -74.01738, 40.7057, -74.01711]",M01336730,#FF0000,LITTLE WEST ST,Battery Pl,1 Pl,W
"[40.70588, -74.01704, 40.70642, -74.01683]",M01336814,#FF0000,LITTLE WEST ST,1 Pl,2 Pl,W
"[40.70488, -74.01729, 40.70579, -74.01693]",M0133700,#FF0000,LITTLE WEST ST,Battery Pl,3 Pl,E
"[40.70579, -74.01693, 40.70633, -74.01673]",M013370348,#00FF00,LITTLE WEST ST,Battery Pl,3 Pl,E
"[40.70633, -74.01673, 40.70651, -74.01665]",M013370550,#FF0000,LITTLE WEST ST,Battery Pl,3 Pl,E
"[40.70651, -74.01665, 40.70701, -74.01646]",M013370620,#00FF00,LITTLE WEST ST,Battery Pl,3 Pl,E
"[40.70433, -74.01145, 40.70436, -74.01133, 40.7044, -74.0112]",M00727115,#00FF00,SOUTH WILLIAM ST,Broad St,Beaver St,W
"[40.7044, -74.0112, 40.70443, -74.0111, 40.70446, -74.01103]",M00727186,#00FF00,SOUTH WILLIAM ST,Broad St,Beaver St,W
"[40.70292, -74.0114, 40.70298, -74.0112, 40.70302, -74.01103]",M00959113,#FF0000,WATER ST,Broad St,Old Slip,E
"[40.70594, -74.01807, 40.7059, -74.01808, 40.70583, -74.01809, 40.70574, -74.01809, 40.70568, -74.01808, 40.70562, -74.01807, 40.70557, -74.01806, 40.70547, -74.01803, 40.70537, -74.01798, 40.70528, -74.01792, 40.70521, -74.01786, 40.70517, -74.01783, 40.70514, -74.0178, 40.70506, -74.01773, 40.70499, -74.01763, 40.70495, -74.01758, 40.70495, -74.01757, 40.7049, -74.01749, 40.70484, -74.01738, 40.7048, -74.01721, 40.7048, -74.0172, 40.70478, -74.01712, 40.70477, -74.01707, 40.70476, -74.01701, 40.70475, -74.01694, 40.70475, -74.01689, 40.70475, -74.01685, 40.70472, -74.01671]",M0102746,#FF0000,BATTERY PL,First Pl,West St,W
